               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,             0.01285,            0.023222,                   0,             0.99802,             0.99674,             0.99434,             0.92409,           0.0096883,            0.012989,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.013087,            0.023496,                   0,             0.99868,             0.99697,             0.99436,              0.9245,            0.009787,            0.013279,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.012792,            0.023263,                   0,             0.99664,             0.99737,             0.99434,             0.93025,           0.0095053,            0.013097,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.012816,            0.023382,                   0,             0.99689,              0.9977,             0.99435,             0.93164,           0.0094608,            0.012885,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.012896,            0.023232,                   0,             0.99737,             0.99762,             0.99434,             0.93152,           0.0095306,            0.012993,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.012754,             0.02297,                   0,             0.99808,             0.99605,             0.99434,             0.92984,           0.0096777,             0.01322,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.012777,             0.02287,                   0,             0.99704,             0.99717,             0.99435,             0.93242,           0.0093921,            0.013338,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.012762,            0.023099,                   0,             0.99704,             0.99814,             0.99433,             0.93205,           0.0093379,            0.013247,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.012737,             0.02341,                   0,             0.99678,             0.99704,             0.99433,              0.9358,           0.0092817,            0.013307,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.012681,            0.022763,                   0,              0.9977,             0.99732,             0.99432,             0.93433,           0.0093833,            0.013236,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.012515,            0.022727,                   0,             0.99751,             0.99704,             0.99432,             0.93597,           0.0092295,            0.013417,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.012696,            0.023187,                   0,              0.9963,             0.99836,             0.99432,               0.939,           0.0091256,            0.013384,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.012837,            0.022672,                   0,             0.99727,             0.99868,             0.99432,             0.93685,           0.0089887,            0.013093,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.012637,            0.022846,                   0,             0.99735,              0.9977,             0.99431,             0.93619,           0.0091582,            0.013184,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.012422,            0.022325,                   0,             0.99761,             0.99638,             0.99432,             0.93345,           0.0094441,             0.01362,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.012387,            0.022624,                   0,             0.99671,             0.99684,             0.99432,             0.93819,           0.0091717,            0.013188,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.012274,            0.022512,                   0,             0.99737,             0.99694,             0.99432,             0.94015,           0.0090829,            0.013134,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.012383,            0.022519,                   0,             0.99868,             0.99605,             0.99433,             0.93792,           0.0092059,            0.013251,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.012483,            0.023004,                   0,             0.99791,             0.99638,             0.99434,             0.93692,           0.0093012,            0.013353,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.012523,             0.02286,                   0,             0.99631,             0.99803,             0.99431,             0.93603,           0.0092551,            0.013267,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.012119,            0.022231,                   0,             0.99702,             0.99803,              0.9943,             0.93969,           0.0090776,            0.013222,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.012212,            0.022291,                   0,             0.99704,             0.99765,             0.99431,             0.93551,           0.0091797,            0.012978,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.012238,            0.022139,                   0,             0.99835,             0.99659,             0.99433,             0.94442,           0.0086322,            0.012585,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.012213,            0.022365,                   0,             0.99831,             0.99671,             0.99432,             0.93865,           0.0090147,            0.012759,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.012324,            0.022211,                   0,             0.99781,             0.99704,             0.99432,             0.93633,           0.0091842,            0.012937,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.011985,            0.022284,                   0,             0.99848,             0.99704,             0.99432,             0.93647,           0.0091778,            0.013147,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.012196,            0.022063,                   0,             0.99841,             0.99605,             0.99433,             0.94085,           0.0086911,            0.012974,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.012123,            0.022327,                   0,             0.99606,             0.99845,             0.99434,             0.94022,           0.0089466,             0.01274,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.011998,            0.021873,                   0,             0.99639,             0.99898,             0.99433,             0.94052,           0.0087728,            0.012639,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.011963,            0.022265,                   0,             0.99606,             0.99868,             0.99429,             0.94704,           0.0084337,            0.012329,                   0,            0.005281,            0.005281,            0.005281
                 145,             0.01206,            0.022037,                   0,             0.99792,             0.99704,              0.9943,             0.94064,           0.0090284,            0.012768,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.011842,            0.021823,                   0,              0.9967,             0.99868,             0.99429,             0.94068,           0.0090492,            0.013062,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.011884,            0.021812,                   0,             0.99697,             0.99836,              0.9943,             0.94351,           0.0087916,            0.012782,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.011927,            0.022158,                   0,             0.99803,             0.99793,             0.99432,             0.94648,           0.0084981,             0.01242,                   0,            0.005149,            0.005149,            0.005149
                 149,             0.01175,            0.021793,                   0,             0.99705,             0.99896,             0.99432,             0.94384,           0.0087879,            0.012411,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.011686,             0.02162,                   0,              0.9969,             0.99868,             0.99426,             0.94045,           0.0090283,            0.012652,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.011842,            0.021691,                   0,             0.99734,             0.99836,             0.99428,              0.9386,            0.008956,             0.01253,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.011811,            0.021771,                   0,             0.99673,             0.99868,             0.99429,              0.9416,           0.0090181,            0.012577,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.011814,             0.02165,                   0,             0.99694,             0.99803,             0.99423,             0.94124,           0.0089484,            0.012766,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.011855,            0.021404,                   0,             0.99835,             0.99667,             0.99423,              0.9414,           0.0088629,            0.012716,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.01155,            0.021295,                   0,             0.99672,             0.99796,             0.99426,             0.94438,           0.0086069,             0.01264,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.011897,            0.021352,                   0,              0.9957,             0.99901,              0.9943,             0.94672,           0.0085263,            0.012394,                   0,            0.004885,            0.004885,            0.004885
                 157,              0.0118,            0.021541,                   0,             0.99834,             0.99671,             0.99427,             0.94588,           0.0084668,            0.012341,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.011521,            0.020971,                   0,             0.99868,             0.99625,              0.9943,             0.94373,           0.0086283,            0.012241,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.011741,            0.021783,                   0,              0.9984,             0.99638,              0.9943,             0.94373,           0.0085649,            0.012178,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.011571,             0.02148,                   0,             0.99801,             0.99638,             0.99432,             0.94351,           0.0085992,            0.012182,                   0,            0.004753,            0.004753,            0.004753
                 161,             0.01156,            0.021248,                   0,             0.99802,             0.99616,             0.99433,              0.9418,           0.0086645,            0.012389,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.011581,            0.021022,                   0,             0.99759,             0.99605,             0.99433,             0.94356,           0.0085469,            0.012233,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.011435,            0.020758,                   0,             0.99735,             0.99605,             0.99433,             0.94136,           0.0086698,            0.012195,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.011558,            0.021441,                   0,             0.99737,             0.99659,             0.99432,              0.9418,           0.0087606,            0.012369,                   0,            0.004621,            0.004621,            0.004621
