               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.015146,           0.0078132,                   0,             0.95046,             0.93899,             0.95915,             0.68232,            0.022387,           0.0087349,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.015649,           0.0080454,                   0,             0.92503,             0.96021,             0.96874,             0.69633,            0.022704,           0.0083724,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.015239,           0.0076223,                   0,             0.92306,             0.94695,              0.9643,             0.68943,            0.022954,           0.0087407,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.015395,            0.008225,                   0,             0.92971,             0.94729,             0.97096,             0.69378,            0.022789,           0.0087627,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.014855,           0.0078685,                   0,             0.94005,             0.96817,             0.97313,             0.70516,            0.022214,           0.0078717,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.014885,           0.0078884,                   0,             0.94229,             0.95279,             0.96336,              0.6746,            0.023347,           0.0083453,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.014795,           0.0077614,                   0,             0.94437,             0.93369,             0.96167,             0.68577,            0.023006,           0.0084752,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.014603,           0.0079121,                   0,             0.91877,             0.96552,             0.96902,             0.69837,            0.022809,           0.0083834,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.014268,           0.0081817,                   0,             0.94572,             0.93899,             0.97219,             0.70065,            0.022309,            0.008345,                   0,             0.00571,             0.00571,             0.00571
                 132,             0.01451,           0.0075293,                   0,              0.9528,             0.93369,             0.96341,             0.68319,            0.023043,           0.0093069,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.015092,           0.0077684,                   0,             0.94547,             0.94164,              0.9701,             0.69018,            0.024212,           0.0092839,                   0,            0.005644,            0.005644,            0.005644
